input_color,output_color
#E4C580,#080F5B
#080F5B,#15DB95
#FBE8A6,#F4976C
#F4976C,#303C6C
#303C6C,#B4DFE5
#B4DFE5,#D2FDFF
#D2FDFF,#FBE8A6
#B23850,#3B8BEB
#3B8BEB,#E7E3D4
#E7E3D4,#C4DBF6
#C4DBF6,#8590AA
#F78888,#F3D250
#F3D250,#ECECEC
#ECECEC,#90CCF4
#90CCF4,#5DA2D5
#90CCF4,#F78888
#F78888,#ECECEC
#19181A,#479761
#479761,#CEBC81
#CEBC81,#A16E83
#A16E83,#B19F9E
#B19F9E,#19181A
#CEBC81,#19181A
#19181A,#A16E83
#479761,#A16E83
#479761,#B19F9E
#314455,#644E5B
#644E5B,#9E5A63
#9E5A63,#C96567
#C96567,#97AABD
#C96567,#314455
#314455,#9E5A63
#00887A,#FFCCBC
#FFCCBC,#FFFFFF
#D3E3FC,#FFFFFF
#D3E3FC,#77A6F7
#FFFFFF,#77A6F7
#77A6F7,#00887A
#844D36,#474853
#474853,#86B3D1
#86B3D1,#AAA0A0
#AAA0A0,#8E8268
#8E8268,#844D36
#5F6366,#4D6D9A
#4D6D9A,#86B3D1
#86B3D1,#99CED3
#99CED3,#EDB5BF
#EDB5BF,#86B3D1
#99CED3,#4D6D9A
#802BB1,#2D283E
#2D283E,#564F6F
#564F6F,#4C495D
#4C495D,#D1D7E0
#265077,#022140
#022140,#494B68
#494B68,#1E4258
#1E4258,#2D5F5D
#2D5F5D,#265077
#265077,#1E4258
#806543,#33266E
#33266E,#111111
#111111,#542F34
#542F34,#A6607C
#A6607C,#33266E
#501F3A,#CB2D6F
#CB2D6F,#CCCCCC
#CCCCCC,#14A098
#14A098,#0F292F
#0F292F,#501F3A
#C34271,#F070A1
#F070A1,#16FFBD
#16FFBD,#12C998
#12C998,#439F76
#439F76,#C34271
#026670,#9FEDD7
#9FEDD7,#FEF9C7
#FEF9C7,#FCE181
#FCE181,#EDEAE5
#EDEAE5,#026670
#026670,#FEF9C7
#3D5A73,#28403D
#28403D,#182625
#3D5A73,#2F3D40
#2F3D40,#455559
#455559,#28403D
#8C1F28,#591C21
#591C21,#044040
#044040,#D92525
#D92525,#8C1F28
#172026,#5FCDD9
#027373,#5FCDD9
#23606E,#FACFCE
#023535,#015958
#253659,#BF665E
#04BF9D,#F27457
#F23030,#F28705
#F28705,#F29F05
#F29F05,#F2CB05
#F2CB05,#267365
#593954,#013440
#038C7F,#593954
#F24405,#FA7F08
#F24405,#348888
#FF81D0,#400036
#105057,#898C8B
#919151,#105057
#E3371E,#FF7A48
#FF7A48,#0593A2
#0593A2,#103778
#103778,#151F30
#23606E,#FACFCE
#FACFCE,#008F8C
#1F0802,#38184C
#A0CD60,#CEF09D
#DAA89B,#AE847E
#AE847E,#2C0E37
#2C0E37,#690375
#690375,#CB429F
#ED6636,#9A383B
#9A383B,#F9DD9B
#F9DD9B,#A69C7D
#271C1D,#BA2F23
#F3000E,#F25016
#F25016,#6596F3
#6596F3,#D3A4EA
#6596F3,#EAD094
#6596F3,#B2DCE2
#6596F3,#F25016
#403963,#0E0E0E
#310A69,#403963
#0833F5,#FB21F3
#E9DADE,#FA80B4
#F3CB0C,#BB7FF6
#BB7FF6,#F3CB0C
#9940FF,#31003C
#8E55C4,#562F54
#E6B855,#A66783
#E8FC8C,#CAF204
#CAF204,#00F3B5
#9940FF,#504141
#C4C4C4,#761F21
#FC0C04,#F5BF0F
#F5BF0F,#F2720C
#DAD5D0,#10EDF5
#9AC6C6,#2D11E9
#2D11E9,#150D0D
#EDB55E,#7D58D9
#E1E1E1,#D6C3DF
#131213,#BDB7B9
#D90B1C,#EF1A21
#EF1A21,#F2CB05
#0C0C0D,#BF971F
#BF971F,#A68549
#A68549,#59380F
#59380F,#401303
#401303,#0C0C0D
#FF530D,#E82C0C
#E82C0C,#FF0000
#FF0000,#E80C7A
#E80C7A,#FF0DFF
#0C2C40,#64732F
#64732F,#D97904
#D97904,#734014
#734014,#592E15
#D9296A,#A64BA0
#A64BA0,#F2A413
#F2A413,#F2811D
#F2811D,#F25430
#F25430,#D9296A
#F25430,#A64BA0
#F25430,#F2A413
#364659,#8697A6
#8697A6,#D9843B
#D9843B,#733C1D
#733C1D,#0D0D0D
#0D0D0D,#364659
#8FADBF,#31403C
#31403C,#D9734E
#D9734E,#BFA59B
#BFBFBF,#733822
#733822,#D9896C
#D9896C,#F2BFAC
#F2BFAC,#8C3D2B
#000000,#9C4E2D
#9C4E2D,#BF6F52
#BF6F52,#F5E2DC
#F5E2DC,#FFFFFF
#F20519,#A60F2B
#A60F2B,#730D28
#730D28,#D984BB
#D984BB,#F2BDE4
#BBE8F2,#03735E
#03735E,#8C6249
#8C6249,#BF9D8A
#BF9D8A,#401505
#FF0000,#FAFA00
#FAFA00,#0DF205
#0DF205,#00FFFF
#00FFFF,#0000FF
#0000FF,#FA00FA
#FAFA00,#00FFFF
#FAFA00,#FA00FA
#00FFFF,#FF0000
#FF0000,#FA00FA
#DB1100,#9921DB
#9921DB,#00EB00
#00EB00,#96179D
#96179D,#FE19F7
#FE19F7,#DB1100
#9921DB,#96179D
